"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"pbmcapply","pbmcapply","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"pcaGoPromoter","pcaGoPromoter","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.12.0",NA,"R (>= 2.14.0) , ellipse","Biobase (>= 2.10.0) , AnnotationDbi",NA,"Rgraphviz, GO.db, hgu133plus2.db, mouse4302.db, rat2302.db,
hugene10sttranscriptcluster.db, mogene10sttranscriptcluster.db,
Biostrings, pcaGoPromoter.Hs.hg19, pcaGoPromoter.Mm.mm9,
pcaGoPromoter.Rn.rn4, serumStimulation, parallel",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.0"
"pdftools","pdftools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.3.3",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"permute","permute","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"pheatmap","pheatmap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"piggyback","piggyback","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.5",NA,NA,"cli, glue, gh, httr, jsonlite, fs, lubridate, memoise",NA,"spelling, readr, covr, testthat, knitr, rmarkdown, gert,
withr, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgdown","pkgdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2.1",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"pkgmaker","pkgmaker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.32.10",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringr,
xtable, withr, assertthat",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, markdown (>= 1.3), yaml, Biobase, datasets,
rbibutils (>= 1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"plot3D","plot3D","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.2.0"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.10.2",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, maptools, rgeos,
sf, png, IRdisplay, processx, plotlyGeoAssets, forcats,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"plotrix","plotrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"png","png","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10-4",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.0"
"polynom","polynom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"prabclus","prabclus","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3-2",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"pracma","pracma","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.2",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"preprocessCore","preprocessCore","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.60.2",NA,NA,"stats",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"princurve","princurve","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.6",NA,"R (>= 3.0)","stats, graphics, grDevices, Rcpp","Rcpp","devtools, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"prismatic","prismatic","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pROC","pROC","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.18.4",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"processx","processx","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.8.2",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"prodlim","prodlim","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2023.08.28",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"profvis","profvis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"progressr","progressr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"promises","promises","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"propr","propr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.3.0",NA,"methods, R (>= 3.2.2)","fastcluster, ggplot2, grDevices, igraph, Rcpp, stats, utils","Rcpp","ALDEx2, Biobase, cccrm, compositions, corpcor, data.table,
datasets, grid, ggdendro, knitr, limma, parallel, plotly,
ppcor, reshape2, rgl, rmarkdown, SDMTools, testthat, vegan",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"ProtGenerics","ProtGenerics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.30.0",NA,"methods",NA,NA,"testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"proxy","proxy","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"proxyC","proxyC","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 3.1.0), methods","Matrix (>= 1.2), Rcpp (>= 0.12.12), RcppParallel","Rcpp, RcppParallel, RcppArmadillo (>= 0.7.600.1.0)","testthat, entropy, proxy, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"pryr","pryr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.6",NA,"R (>= 3.1.0)","codetools, lobstr, methods, Rcpp (>= 0.11.0), stringr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"ps","ps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.5",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"pscl","pscl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.5.1",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"psych","psych","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.6",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"qap","qap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-2",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"qgraph","qgraph","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.5",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, fdrtool, gtools, parallel, pbapply,
abind","Rcpp","BDgraph, huge",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"qpdf","qpdf","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.0"
"qqconf","qqconf","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,"R (>= 4.0.0)","MASS (>= 7.3-50), robustbase (>= 0.93-4), Rcpp","Rcpp","knitr, rmarkdown, distr (>= 2.8.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"quadprog","quadprog","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.97",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"qvalue","qvalue","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.30.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.2.1"
"R.cache","R.cache","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.12.2",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R2HTML","R2HTML","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.3",NA,"R (>= 2.0)","stats, graphics, utils, grDevices, methods",NA,"boot, splines, survival, cluster, nlme, rpart, nnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"R6","R6","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ragg","ragg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.5",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ranger","ranger","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.15.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"RANN","RANN","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rappdirs","rappdirs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"raster","raster","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.6-23",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.7-29)","Rcpp","ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf,
tinytest, gstat, fields, exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rbibutils","rbibutils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.15",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"RcisTarget","RcisTarget","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.18.2",NA,"R (>= 3.5.0)","AUCell (>= 1.1.6), BiocGenerics, data.table, graphics,
GenomeInfoDb, GenomicRanges, arrow (>= 2.0.0), dplyr, tibble,
GSEABase, methods, R.utils, stats, SummarizedExperiment,
S4Vectors, utils",NA,"Biobase, BiocStyle, BiocParallel, doParallel, DT, foreach,
gplots, rtracklayer, igraph, knitr,
RcisTarget.hg19.motifDBs.cisbpOnly.500bp, rmarkdown, testthat,
visNetwork","doMC, doRNG, zoo","GPL-3",NA,NA,NA,NA,"no","4.2.2"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.2.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.11",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppAnnoy","RcppAnnoy","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.21",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12.6.4.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3.9.3",NA,"R (>= 3.6.0)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RcppHNSW","RcppHNSW","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","testthat, covr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"RcppParallel","RcppParallel","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.1.7",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"RcppProgress","RcppProgress","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"RcppTOML","RcppTOML","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.98-1.12",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RCy3","RCy3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.18.0",NA,NA,"httr, methods, RJSONIO, XML, utils, BiocGenerics, stats,
graph, fs, uuid, uchardet, glue, RCurl, base64url, base64enc,
IRkernel, IRdisplay, RColorBrewer, gplots",NA,"BiocStyle, knitr, rmarkdown, igraph, grDevices",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"Rdpack","Rdpack","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.5",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"reactome.db","reactome.db","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.82.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.33.0)","methods, AnnotationDbi",NA,"RSQLite",NA,"CC BY 4.0",NA,NA,NA,NA,"no","4.2.1"
"ReactomePA","ReactomePA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.42.0",NA,"R (>= 3.4.0)","AnnotationDbi, DOSE (>= 3.5.1), enrichplot, ggplot2 (>=
3.3.5), ggraph, reactome.db, igraph, graphite, gson",NA,"BiocStyle, clusterProfiler, knitr, rmarkdown, org.Hs.eg.db,
prettydoc, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.4",NA,"R (>= 3.5)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 3.6)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"recipes","recipes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.8",NA,"dplyr (>= 1.1.0), R (>= 3.6)","cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.3.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
1.0.0), rlang (>= 1.0.3), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"registry","registry","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"RegParallel","RegParallel","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.16.0",NA,"doParallel, foreach, parallel, iterators, data.table, stringr,
survival, arm, stats, utils, methods","",NA,"RUnit, BiocGenerics, knitr, DESeq2, airway, magrittr,
Biobase, GEOquery, biomaRt, survminer, survey, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
